course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
797038,Learn jQuery by Example Course,https://www.udemy.com/complete-jquery-course/,True,170,8625,94,73,Beginner Level,5.0,2016-04-23T07:47:40Z,Web Development
958750,Web Design Creating websites from scratch,https://www.udemy.com/web-design-creating-websites-from-scratch/,True,75,13920,64,28,Beginner Level,2.0,2016-09-19T22:32:38Z,Web Development
515188,HTML Learning the Basics Intro to HTML website coding,https://www.udemy.com/html-learning-the-basics-intro-to-html-website-coding/,True,20,7416,65,14,Beginner Level,0.65,2015-05-31T21:28:27Z,Web Development
147908,JavaScript for Beginning Web Developers,https://www.udemy.com/learn-javascript-programming/,True,75,7785,416,33,Beginner Level,4.5,2014-01-16T18:07:39Z,Web Development
803074,introduction to HTML Course,https://www.udemy.com/introduction-to-html-course/,True,20,3258,32,16,Beginner Level,2.0,2016-05-16T15:14:17Z,Web Development
200742,Create Single Page Website using Twitter Bootstrap 3,https://www.udemy.com/create-single-page-website-using-twitter-bootstrap/,True,20,7449,111,13,Intermediate Level,1.0,2014-04-19T20:10:39Z,Web Development
143028,Code a Responsive Website Using HTML5 and CSS for Beginners,https://www.udemy.com/how-to-code-a-responsive-website-using-html5-and-css/,True,50,1271,136,110,Beginner Level,7.5,2014-01-09T17:51:10Z,Web Development
212398,Advanced Node.js Development,https://www.udemy.com/refactoru-adv-nodejs/,True,55,2565,32,41,Expert Level,3.0,2014-08-28T03:35:30Z,Web Development
653852,Bootstrap For Beginners: A  Basic Introduction,https://www.udemy.com/bootstrap-for-beginners-a-basic-introduction/,True,55,1186,14,9,Beginner Level,0.6666666666666666,2015-11-13T19:13:51Z,Web Development
900794,JavaScript Basics For Web Developers,https://www.udemy.com/javascript-basics-for-web-developers/,True,20,958,14,17,Beginner Level,1.0,2016-07-11T17:30:42Z,Web Development
564546,Learn PHP from Scratch,https://www.udemy.com/learn-php-from-scratch-in-1-3-hr/,True,50,1550,25,27,Beginner Level,1.5,2015-07-26T20:44:15Z,Web Development
516064,Learn Express,https://www.udemy.com/learn-express/,True,25,1309,60,14,Intermediate Level,1.5,2015-06-01T21:34:14Z,Web Development
142666,Improved SEO with Rich Snippets and MicroData,https://www.udemy.com/improved-seo-with-rich-snippets-and-microdata/,False,0,11026,228,13,Intermediate Level,1.0,2014-06-09T10:35:40Z,Web Development
857270,Become a HTML and CSS Developer - Build a Responsive Site,https://www.udemy.com/learn-to-code-in-html-and-css/,False,0,3894,91,29,Beginner Level,2.0,2016-05-26T04:46:39Z,Web Development
651990,Install Wordpress,https://www.udemy.com/learn-how-to-install-wordpress/,True,20,1447,35,7,Beginner Level,0.6666666666666666,2015-11-06T22:04:41Z,Web Development
923146,CSS Specialist: Comprehensive CSS Training,https://www.udemy.com/css-specialist-comprehensive-css-training/,True,100,487,31,52,Beginner Level,6.0,2016-08-08T20:48:38Z,Web Development
1170690,Introduction to Elm,https://www.udemy.com/introduction-to-elm/,False,0,1519,28,20,Intermediate Level,1.0,2017-05-15T22:50:07Z,Web Development
993146,Learn JSON with JavaScript Objects and APIs in 1 hour,https://www.udemy.com/json-course/,True,95,3619,93,19,Intermediate Level,1.0,2016-10-26T14:19:40Z,Web Development
63612,1 Hour JavaScript,https://www.udemy.com/1-hour-javascript/,True,200,22999,602,18,Beginner Level,1.0,2013-07-04T15:27:02Z,Web Development
1128560,JavaScript - Become Higly Paid Front End Developer,https://www.udemy.com/javascript-become-higly-paid-front-end-developer/,True,105,710,137,49,Beginner Level,3.5,2017-04-17T16:39:08Z,Web Development
1109736,Beginners Introduction to Web Development,https://www.udemy.com/explore-web-development/,True,200,7331,55,18,Beginner Level,1.5,2017-02-13T17:40:58Z,Web Development
982860,Django + AngularJS for a Powerful Web Application,https://www.udemy.com/django-angularjs/,True,95,4463,59,36,Intermediate Level,5.5,2016-10-13T17:34:00Z,Web Development
859936,WordPress Academy: Learn WordPress step by step,https://www.udemy.com/wordpress-academy-course/,True,150,1873,360,79,Beginner Level,7.5,2016-07-12T23:10:02Z,Web Development
1004134,Angular 2 + Rails 5 Bootcamp,https://www.udemy.com/angular-on-rails-course/,True,150,1967,372,60,Intermediate Level,9.0,2016-11-15T19:00:50Z,Web Development
1025026,Javascript - From Beginner to Pro-Build real world JS apps,https://www.udemy.com/javascript-from-beginner-to-pro-best-course/,True,195,28694,688,77,Beginner Level,11.5,2016-12-11T21:16:42Z,Web Development
1251786,Redux in Angular (2 and 4+),https://www.udemy.com/redux-in-angular/,True,70,909,16,13,Intermediate Level,1.5,2017-06-23T00:54:11Z,Web Development
1115348,"Full stack Universal React with Redux, Node js and MongoDB",https://www.udemy.com/full-stack-universal-react-with-redux-express-and-mongodb/,True,195,1121,174,62,Intermediate Level,5.0,2017-05-08T21:59:53Z,Web Development
537008,Be a Bootstrap Developer from scratch,https://www.udemy.com/be-a-bootstrap-developer-from-scratch/,True,100,5800,185,32,Beginner Level,3.5,2015-07-20T20:38:56Z,Web Development
806020,Create Your First Wordpress Site in Under an Hour,https://www.udemy.com/how-to-install-wordpress-/,True,20,4867,128,12,Beginner Level,1.0,2016-03-30T00:41:00Z,Web Development
1253650,Learn Coding as RF or Telecom Engineer - Build Real Program,https://www.udemy.com/learn-coding-as-rf-or-telecom-engineer-build-real-program/,True,25,1006,4,8,Beginner Level,2.0,2017-06-22T16:28:40Z,Web Development
778226,Building HTML5 Canvas projects from scratch,https://www.udemy.com/building-html5-canvas-projects-from-scratch/,True,100,8968,35,25,Beginner Level,2.0,2016-03-03T20:36:35Z,Web Development
1217948,Learn How To Become a Web Developer From Scratch,https://www.udemy.com/learn-how-to-become-a-front-end-web-developer-from-scratch/,True,200,7062,72,172,Beginner Level,11.0,2017-05-28T19:38:52Z,Web Development
1027276,"Earn Big Profits With Web Development, Simple and Easy!",https://www.udemy.com/earn-big-profits-by-building-simple-and-easy-websites/,True,90,3073,27,13,Beginner Level,1.5,2017-01-18T22:48:53Z,Web Development
368340,Professional Python Web Development Using Flask,https://www.udemy.com/python-flask-course/,True,120,3420,489,102,Beginner Level,14.5,2015-03-04T00:10:36Z,Web Development
584522,Voiceover Audio Secrets - Your Way to Top Audio Quality,https://www.udemy.com/professional-audio-recording-processing-for-course-creation/,True,195,918,8,39,Beginner Level,2.5,2015-11-11T18:11:55Z,Web Development
1013380,Learn To Build A Google Map App Using Angular 2,https://www.udemy.com/learn-to-build-a-google-map-app-using-angular-2/,True,30,116,12,7,Beginner Level,1.0,2016-11-21T15:07:46Z,Web Development
961996,Learn Reactivex From Ground Up,https://www.udemy.com/learn-reactivex-from-ground-up/,True,40,207,32,32,Intermediate Level,5.0,2016-09-22T14:56:51Z,Web Development
551962,Learn HTML in 59 Minutes - Your intro to front-end dev,https://www.udemy.com/learn-html-in-59-minutes/,True,35,333,15,14,Beginner Level,1.0,2015-07-14T21:37:16Z,Web Development
520870,WordPress Theme Customization 101 (for beginners),https://www.udemy.com/wordpress-theme-customization-101-for-beginners/,True,40,305,40,9,Beginner Level,2.0,2015-06-05T19:58:14Z,Web Development
593128,Install WordPress on Computer using XAMPP,https://www.udemy.com/wordpress-xampp/,False,0,4290,150,15,Beginner Level,0.6166666666666667,2015-08-26T23:22:24Z,Web Development
